movie_id,title,genre,keywords,description,year,rating,popularity
1,Interstellar,Science Fiction,space time wormhole astronaut survival love,A team of explorers travel through a wormhole in space in an attempt to ensure humanitys survival. A visually stunning epic about love science and the survival of the human race across dimensions of time and space.,2014,8.6,95
2,Inception,Science Fiction,dreams heist mind reality layers subconscious,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O. A mind-bending thriller that explores the nature of reality.,2010,8.8,98
3,Avatar,Science Fiction,aliens planet nature blue creatures war environment,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home. An epic adventure of science fiction and nature.,2009,7.9,97
4,Titanic,Romance Drama,ship ocean love disaster tragedy historical,A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious ill-fated R.M.S. Titanic. A timeless romance set against one of historys greatest disasters.,1997,7.9,96
5,The Matrix,Science Fiction,simulation reality virtual hacker AI rebellion,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers. A groundbreaking sci-fi action film about artificial intelligence and human freedom.,1999,8.7,97
6,The Martian,Science Fiction,survival Mars space astronaut botany alone,An astronaut becomes stranded on Mars after his team assume him dead and must rely on his ingenuity to find a way to signal that he is alive. A gripping survival story on the red planet.,2015,8.0,93
7,Arrival,Science Fiction,aliens language time communication linguistics,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world. A deeply moving sci-fi film about language time and what it means to be human.,2016,7.9,89
8,Dune,Science Fiction,desert planet spice politics prophecy power,A noble family becomes embroiled in a war for control over the galaxys most valuable asset while its heir becomes troubled by visions of a dark future. An epic interstellar political drama.,2021,8.0,92
9,John Wick,Action,assassin revenge hitman underworld guns,An ex-hitman comes out of retirement to track down the gangsters who killed his dog and took his car. A stylish action thriller featuring incredible choreography and an intricate criminal underworld.,2014,7.4,91
10,Avengers Endgame,Action Superhero,heroes time travel infinity stones sacrifice,After the devastating events of Avengers Infinity War the universe is in ruins due to the efforts of the Mad Titan Thanos. With the help of remaining allies the Avengers assemble once more to reverse Thanos actions and restore balance to the universe.,2019,8.4,99
11,Oppenheimer,Historical Drama,atomic bomb nuclear war science ethics Manhattan Project,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb during World War II. A profound exploration of moral responsibility and the consequences of scientific achievement.,2023,8.3,95
12,Fight Club,Drama Thriller,identity masculinity anarchy underground rebellion,An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much much more dangerous. A dark psychological exploration of modern masculinity and identity.,1999,8.8,96
13,Joker,Drama Thriller,clown villain origin society mental health,In Gotham City mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. A dark character study of a man driven to madness.,2019,8.4,94
14,Black Panther,Action Superhero,Africa vibranium king superhero technology,TChalla the heir to the hidden but advanced kingdom of Wakanda must step forward to lead his people into a new future and confront a challenger from his countrys past. A landmark superhero film celebrating African culture.,2018,7.3,95
15,Doctor Strange,Action Superhero,magic multiverse sorcery dimensions alternate reality,A former neurosurgeon embarks on a journey of healing only to be drawn into the world of the mystic arts. A trippy visual feast exploring the multiverse and mystical dimensions.,2016,7.5,89
16,The Dark Knight,Action Crime,batman joker chaos criminal justice superhero,When the menace known as the Joker wreaks havoc and chaos on the people of Gotham the caped crusader must come to terms with one of the greatest psychological tests of his ability to fight injustice.,2008,9.0,99
17,Pulp Fiction,Crime Drama,crime nonlinear dialogue violence Los Angeles,The lives of two mob hitmen a boxer a gangster and his wife and a pair of diner bandits intertwine in four tales of violence and redemption. Quentin Tarantinos masterpiece of nonlinear storytelling.,1994,8.9,97
18,Forrest Gump,Drama Romance,history life journey kindness American history,The presidencies of Kennedy and Johnson the Vietnam War the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75. A heartwarming journey through American history.,1994,8.8,97
19,The Shawshank Redemption,Drama,prison hope friendship freedom redemption,Two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency. A timeless tale of hope perseverance and the unbreakable human spirit.,1994,9.3,98
20,Schindlers List,Historical Drama,Holocaust war Jews rescue history,In German-occupied Poland during World War II industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis. A masterpiece about humanity amidst horror.,1993,9.0,96
21,Goodfellas,Crime Drama,mafia gangster New York crime loyalty betrayal,The story of Henry Hill and his life in the mob covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.,1990,8.7,95
22,The Silence of the Lambs,Thriller Horror,serial killer FBI psychology manipulation cannibalism,A young FBI cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer. A masterclass in psychological tension and suspense.,1991,8.6,94
23,Seven,Crime Thriller,serial killer sins detective dark mystery,Two detectives a rookie and a veteran hunt a serial killer who uses the seven deadly sins as his motives. A dark and relentlessly tense crime thriller.,1995,8.6,95
24,No Country for Old Men,Crime Thriller,violence fate hunter killer Western,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande. A chilling meditation on fate and violence.,2007,8.2,91
25,Parasite,Drama Thriller,class inequality family deception social commentary,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan. An Oscar-winning masterpiece of social commentary.,2019,8.5,96
26,1917,War Drama,World War trenches mission brothers survival one shot,Two British soldiers are sent on a seemingly impossible mission given a direct order to cross enemy territory and deliver a message that will stop 1600 men and a commanding officers brother from walking into a deadly trap.,2019,8.3,93
27,Dunkirk,War Action,evacuation World War beach survival escape,The miraculous evacuation of Allied soldiers from Belgium France and England following a ferocious Battle of France in World War II is recreated. A visceral and immersive war film told from three perspectives.,2017,7.9,91
28,Mad Max Fury Road,Action Adventure,post-apocalyptic desert cars chase survival rebellion,In a post-apocalyptic wasteland a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners a psychotic worshiper and a drifter named Max.,2015,8.1,94
29,Blade Runner 2049,Science Fiction,AI android future memory identity,Young Blade Runner K discovers a long-buried secret that has the potential to plunge whats left of society into chaos prompting his search for a missing Blade Runner who disappeared 30 years ago.,2017,8.0,88
30,Ex Machina,Science Fiction,AI robot consciousness test humanoid,A programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I. A tense and thought-provoking exploration of artificial consciousness.,2014,7.7,87
31,Her,Science Fiction Romance,AI love technology loneliness relationship,A sensitive and sullen man falls in love with an intelligent computer operating system in a near-future Los Angeles. A beautiful meditation on love connection and what it means to be human in a technological age.,2013,8.0,89
32,2001 A Space Odyssey,Science Fiction,space HAL AI evolution monolith mystery,After discovering a mysterious artifact buried beneath the Lunar surface mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000. A landmark of science fiction cinema.,1968,8.3,91
33,Star Wars A New Hope,Science Fiction Adventure,galaxy force rebels empire Jedi hero,Luke Skywalker joins forces with a Jedi Knight a cocky pilot a Wookiee and two droids to save the galaxy from the Empires world-destroying battle station while also attempting to rescue Princess Leia. The epic that started it all.,1977,8.6,98
34,Star Wars The Empire Strikes Back,Science Fiction Adventure,Jedi force Darth Vader training destiny,After the Rebels are brutally overpowered by the Empire on the ice planet Hoth Luke Skywalker begins Jedi training with Yoda while his friends are pursued by Darth Vader. The greatest sequel ever made.,1980,8.7,97
35,The Lord of the Rings Fellowship of the Ring,Fantasy Adventure,quest ring fellowship magic evil Hobbit,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron. Epic fantasy at its finest.,2001,8.8,98
36,The Lord of the Rings The Return of the King,Fantasy Adventure,battle ring Hobbit king war evil victory,Gandalf and Aragorn lead the World of Men against Saurons army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring. A triumphant conclusion to the greatest fantasy trilogy.,2003,9.0,98
37,Harry Potter Philosophers Stone,Fantasy Adventure,magic school wizard Hogwarts friendship young,An orphaned boy discovers that he is a wizard and joins a prestigious school of magic where he begins his education and learns more about his parents. The magical beginning of a beloved series.,2001,7.6,95
38,The Hobbit An Unexpected Journey,Fantasy Adventure,Hobbit quest dragon treasure company,A reluctant Hobbit Bilbo Baggins sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home and the gold within it from the dragon Smaug.,2012,7.8,92
39,The Lion King,Animation Drama,lion king Africa pride family destiny,Lion prince Simba idolizes his father King Mufasa and takes to heart his fathers teachings that the lion will one day rule the Pride Lands. But not everyone wants Simba to succeed.,1994,8.5,97
40,Toy Story,Animation Comedy,toys friendship loyalty adventure childhood,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boys room. The film that revolutionized computer animation and defined a generation.,1995,8.3,96
41,WALL-E,Animation Science Fiction,robot Earth environment loneliness love,In the distant future a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind. A beautiful love story told almost entirely without dialogue.,2008,8.4,95
42,Up,Animation Drama,adventure old age friendship paradise South America,78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons inadvertently taking a young stowaway. One of Pixars most emotionally powerful films.,2009,8.3,95
43,Spider-Man No Way Home,Action Superhero,multiverse spiderman alternate dimensions villain,With Spider-Mans identity now revealed Peter Parker asks Doctor Strange for help and events become far more dangerous forcing him to discover what it truly means to be Spider-Man. A love letter to Spider-Man fans.,2021,8.2,96
44,Captain America Civil War,Action Superhero,heroes divided Avengers government accountability,Political pressure mounts to install a governing body to oversee and counterbalance the Avengers. The new status quo deeply divides members of the team and leads them to fall apart around a personal tragedy.,2016,7.8,95
45,Iron Man,Action Superhero,tech billionaire armor invention genius,After being held captive in an Afghan cave master weapons manufacturer Tony Stark creates a unique weaponized suit of armor to fight evil. The film that launched the Marvel Cinematic Universe.,2008,7.9,95
46,Thor Ragnarok,Action Superhero Comedy,Asgard gladiator planet humor apocalypse,Imprisoned on the planet Sakaar Thor must race against time to return to Asgard and stop Ragnarok—the destruction of his homeworld and the end of Asgardian civilization. Hilarious and action-packed.,2017,7.9,93
47,Guardians of the Galaxy,Action Superhero Comedy,space team misfits humor artifact power,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to commit genocide. One of Marvels most fun and original entries.,2014,8.0,94
48,The Avengers,Action Superhero,team assemble heroes villain Loki,Earths mightiest heroes must come together and learn to fight as a team if they are to stop the mischievous Loki and his alien army from enslaving humanity. The ultimate superhero team-up film.,2012,8.0,97
49,Get Out,Horror Thriller,racism psychology hypnosis social commentary twist,A young African-American visits his white girlfriends family estate and becomes ensnared in a more sinister real reason for the invitation. A groundbreaking horror film with biting social commentary.,2017,7.7,89
50,Us,Horror Thriller,doppelganger family shadow America evil,A family's serene beach vacation turns to chaos when their exact lookalikes appear and begin to terrorize them. Jordan Peeles second film is a layered allegory about America and the duality of human nature.,2019,6.8,85
51,Hereditary,Horror Drama,family grief supernatural occult curse,When the matriarch of the Graham family passes away her daughter's family begins to unravel cryptic and terrifying secrets about their ancestry. An intensely disturbing horror film about grief and loss.,2018,7.3,86
52,Midsommar,Horror Drama,cult Sweden ritual pagan summer,A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition. Disturbing folk horror.,2019,7.1,84
53,A Quiet Place,Horror Thriller,silence survival monster post-apocalyptic family,A family is forced to live in near silence while hiding from creatures that hunt by sound. A masterful exercise in tension and suspense with exceptional performances.,2018,7.5,91
54,Bird Box,Thriller Horror,blindfold monsters survival post-apocalyptic,A woman and two children make a desperate bid to reach safety after a mysterious force decimates the world's population. Seeing it means death so they must navigate the world blindfolded.,2018,6.6,85
55,The Conjuring,Horror Thriller,paranormal haunted house supernatural true story,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Based on a true story that inspired countless spin-offs.,2013,7.5,90
56,The Sixth Sense,Thriller Horror,ghost psychology twist supernatural child,A child psychologist discovers that his new patient a young boy is communicating with dead people. M. Night Shyamalans masterwork with one of the most iconic twists in cinema history.,1999,8.1,93
57,Knives Out,Mystery Thriller,detective murder mystery whodunit family,A detective investigates the death of a patriarch of an eccentric dysfunctional family. A brilliantly crafted modern whodunit that celebrates and subverts the mystery genre.,2019,7.9,91
58,Gone Girl,Thriller Mystery,marriage disappearance media psychology manipulation,With his wife's disappearance having become the focus of an intense media circus Nick Dunne finds himself under police suspicion. A razor-sharp thriller about marriage and media manipulation.,2014,8.1,92
59,Prisoners,Thriller Drama,kidnapping father detective desperation search,Desperate to find his daughter and her friend Keller Dover takes matters into his own hands as the police pursue multiple leads and the pressure mounts. A gripping thriller about desperation and justice.,2013,8.1,90
60,Zodiac,Crime Thriller,serial killer detective San Francisco unsolved mystery,Robert Graysmith an editorial cartoonist becomes obsessed with the Zodiac Killer a serial murderer who terrorized the San Francisco Bay Area during the late 1960s and early 1970s.,2007,7.7,88
61,La La Land,Romance Musical,dreams music love Los Angeles ambition,While navigating their careers in Los Angeles a pianist and an actress fall in love while attempting to reconcile their aspirations for the future. A modern musical that captures dreams and heartbreak.,2016,8.0,92
62,Whiplash,Drama Music,drumming ambition perfectionism music jazz obsession,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,2014,8.5,92
63,The Truman Show,Drama Comedy,reality television surveillance identity freedom,An insurance salesman discovers his whole life is actually a reality TV show. A prescient satire about surveillance media and the search for authentic human experience.,1998,8.2,93
64,Catch Me If You Can,Crime Drama,fraud identity con artist FBI chase,A seasoned FBI agent pursues Frank Abagnale Jr. who before his 21st birthday successfully forged millions of dollars of checks while posing as a Pan Am pilot doctor and legal prosecutor.,2002,8.1,93
65,The Terminal,Comedy Drama,airport stranded immigration bureaucracy kindness,An eastern immigrant finds himself stranded in JFK airport and must take up temporary residence there. A charming and heartwarming story about bureaucracy kindness and the human spirit.,2004,7.4,88
66,Cast Away,Drama Survival,stranded island survival FedEx volleyball isolation,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island. Tom Hanks delivers a tour-de-force performance as a man alone against nature.,2000,7.8,91
67,Life of Pi,Adventure Drama,tiger ocean survival faith spirituality,A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery while stranded on a lifeboat with an untamed Bengal tiger. A visually breathtaking survival story.,2012,7.9,91
68,127 Hours,Drama Adventure,survival arm trapped canyon solo,Mountain climber Aron Ralston reflects on his life after becoming trapped under a boulder in Blue John Canyon Utah. Based on the true story of one mans extraordinary will to survive.,2010,7.6,87
69,Into the Wild,Adventure Drama,nature freedom escape society transcendence Alaska,After graduating from Emory University in 1992 top student and athlete Christopher McCandless abandons his possessions gives his entire savings to charity and hitchhikes to Alaska to live in the wilderness. A powerful story about freedom.,2007,8.1,89
70,The Revenant,Action Drama,survival revenge wilderness bears frontier,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team. A brutal and beautiful survival epic.,2015,8.0,91
71,Gravity,Science Fiction,astronaut space survival debris orbit,Two astronauts work together to survive after an accident leaves them stranded in space. A groundbreaking technical achievement and nerve-wracking survival thriller set in the vacuum of space.,2013,7.7,93
72,Apollo 13,Drama Science,astronaut space crisis moon NASA teamwork,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy. A tense real-life space rescue.,1995,7.7,90
73,Hidden Figures,Drama Historical,NASA mathematics race gender space Moon,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the US space program and Moon landing mission.,2016,7.8,91
74,First Man,Drama Science,Neil Armstrong moon landing NASA sacrifice,A look at the life of the astronaut Neil Armstrong and the legendary space mission that led him to become the first man to walk on the Moon on July 20 1969.,2018,7.3,86
75,Contact,Science Fiction,alien signal radio telescope scientist,Dr. Ellie Arroway after years of searching finds conclusive radio proof of extraterrestrial intelligence sending plans for a mysterious machine. A profound meditation on science faith and first contact.,1997,7.5,87
76,Annihilation,Science Fiction Horror,alien zone mutation biology mystery,A biologist signs up for a dangerous secret expedition where the laws of nature don't apply. A deeply unsettling and visually stunning exploration of self-destruction and alien biology.,2018,6.8,83
77,Predator,Science Fiction Action,jungle alien hunter military survival,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior. A classic science fiction action thriller.,1987,7.8,90
78,Alien,Science Fiction Horror,space monster survival crew spacecraft,After a space merchant vessel receives an unknown transmission as a distress call one of the crew is attacked by a mysterious life form and they continue their journey. A landmark in science fiction horror.,1979,8.5,95
79,Aliens,Science Fiction Action,marine aliens queen survival military,The planet from Alien has been colonized but contact is lost. This time marines armed to the teeth have been sent. A perfect sequel that amps up the action while retaining the terror.,1986,8.4,94
80,Terminator 2 Judgment Day,Science Fiction Action,robot time travel future nuclear war AI,A cyborg identical to the one who failed to kill Sarah Connor must now protect her ten year old son John from a more advanced and powerful cyborg. One of the greatest sequels ever made.,1991,8.6,96
81,Back to the Future,Science Fiction Comedy,time travel 1955 1985 DeLorean adventure,Marty McFly a 17-year-old high school student is accidentally sent thirty years into the past in a time-traveling DeLorean automobile built by his close friend the eccentric scientist Doc Brown.,1985,8.5,97
82,Jurassic Park,Science Fiction Adventure,dinosaurs park cloning chaos survival,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose. A masterpiece of cinematic tension.,1993,8.2,97
83,Jurassic World,Science Fiction Adventure,dinosaurs hybrid theme park survival chaos,A new theme park built on the original site of Jurassic Park creates a genetically modified hybrid dinosaur which escapes containment and goes on a killing spree. A thrilling update of the classic premise.,2015,7.0,94
84,Planet of the Apes,Science Fiction,apes future society evolution rebellion humans,An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species and humans are the oppressed and enslaved. A shocking and prescient sci-fi classic.,1968,8.0,90
85,Rise of the Planet of the Apes,Science Fiction Drama,apes intelligence virus rebellion Caesar,Will Rodman a scientist at a San Francisco biotech company is forced to abandon his work on a cure for Alzheimers disease after an incident with a test chimpanzee. A powerful origin story about rebellion and freedom.,2011,7.6,90
86,District 9,Science Fiction,alien apartheid South Africa discrimination refugee,An extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent who is exposed to their biotechnology. A searing allegory about apartheid.,2009,7.9,90
87,Elysium,Science Fiction,future inequality class war robot health,In the year 2154 two classes of people exist: the very wealthy who live on a pristine man-made space station and the rest who live on a ruined Earth. A visually stunning sci-fi allegory about healthcare inequality.,2013,6.6,84
88,The Hunger Games,Action Adventure,dystopia survival competition teenage rebellion,Katniss Everdeen voluntarily takes her younger sisters place in the Hunger Games a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,2012,7.2,94
89,Divergent,Action Adventure,dystopia factions identity rebellion teenage,In a world divided by factions based on virtues Tris learns she's a Divergent who doesn't fully belong to any faction and must find out what makes Divergents dangerous before it's too late.,2014,6.7,88
90,The Maze Runner,Action Adventure,maze mystery survival teenagers memory,Thomas is deposited in a community of boys after his memory is erased waking up in a massive maze with no knowledge of the outside world other than strange dreams about a mysterious organization known as W.C.K.D.,2014,6.8,88
91,Ready Player One,Science Fiction Adventure,virtual reality gaming 80s nostalgia Easter eggs,When the creator of a virtual reality world called the OASIS dies he releases a video in which he challenges all OASIS users to find his Easter Egg which will give the finder his fortune and control of his world.,2018,7.4,91
92,Alita Battle Angel,Science Fiction Action,cyborg identity anime future war,A deactivated female cyborg is revived but cannot remember anything of her past life and goes on a quest to find out who she is. Based on the classic manga series.,2019,7.3,86
93,Mortal Engines,Science Fiction Adventure,steampunk cities movement future survival,In a post-apocalyptic world cities ride on wheels and consume smaller towns to survive. A young woman with a mysterious past aids a group of rebels trying to stop London from devouring their settlements.,2018,6.1,78
94,Snowpiercer,Science Fiction Drama,train class revolution post-apocalyptic inequality,All that remains of humanity lives on a perpetually moving train that circles the globe as Earth has become frozen and uninhabitable. A brilliant class warfare allegory set aboard a train.,2013,7.1,87
95,Sunshine,Science Fiction,sun space mission sacrifice crew heat,Fifty years into the future the sun is dying and mankind faces extinction. A team of astronauts is sent to reignite the sun with a stellar bomb. A beautiful and terrifying space film.,2007,7.3,84
96,Event Horizon,Science Fiction Horror,spaceship dimension hell crew survival,A rescue crew investigates a spaceship that disappeared into a black hole and has now returned with something terrifying on board. Dark and visceral science fiction horror.,1997,6.7,82
97,Solaris,Science Fiction Drama,space station consciousness memory love alien,A psychologist is sent to investigate the crew of an isolated research station orbiting a bizarre planet. Based on Stanislaw Lems classic novel about memory loss and alien consciousness.,1972,8.1,83
98,Moon,Science Fiction Drama,lonely AI clone lunar base identity,Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon where he is mining the precious moon gas Helium-3. A profound meditation on identity and isolation.,2009,7.9,86
99,Oblivion,Science Fiction Action,post-apocalyptic Earth drone clone alien,A veteran assigned to extract Earths remaining resources begins to question what he knows about his mission and himself. A visually gorgeous sci-fi film starring Tom Cruise.,2013,7.0,85
100,Total Recall,Science Fiction Action,memory Mars identity spy implant,A construction worker finds himself embroiled in a web of espionage that may or may not be a dream after he visits a company that implants artificial memories. Based on a Philip K Dick story.,1990,7.5,88
101,Pacific Rim,Science Fiction Action,robots monsters ocean giant battle,As a war between humankind and monstrous sea creatures wages on a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world.,2013,6.9,88
102,Transformers,Action Science Fiction,robots disguise war alien Earth,An alien war between two races of robots the Autobots and the Decepticons is brought to Earth and a teenager learns that his new car is one of the Autobots. A bombastic action spectacular.,2007,7.0,90
103,The Fifth Element,Science Fiction Action,future alien artifact love destined cab driver,In the colorful future a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr Zorg from destroying Earth. A campy beloved sci-fi classic.,1997,7.7,89
104,Edge of Tomorrow,Science Fiction Action,time loop military alien invasion reset,A military officer is brought into an alien war against an extraterrestrial enemy who can reset the day and know all the mans strategic moves. Constantly reset Tom Cruise must learn to win.,2014,7.9,92
105,Source Code,Science Fiction Thriller,time loop bomb train mystery consciousness,A soldier wakes in the body of an unknown man discovering he's part of a mission to find the bomber of a Chicago commuter train and has only 8 minutes to do it.,2011,7.5,88
106,Looper,Science Fiction Thriller,time travel assassin future past self,In 2074 when the mob wants to get rid of someone the target is sent into the past where a hired gun awaits someone like Joe who one day learns the mob wants to close the loop by sending his future self back for assassination.,2012,7.4,89
107,Minority Report,Science Fiction Thriller,future crime prevention psychics police murder,In 2054 a special police unit is able to arrest murderers before they commit their crimes. An officer from that unit is himself accused of a future murder. Philip K Dick adaptation.,2002,7.6,90
108,I Robot,Science Fiction Action,AI robot future laws rebellion,In 2035 a technophobic cop investigates a crime that may have been perpetrated by a robot which leads to a larger threat to humanity. Based on Isaac Asimovs classic stories.,2004,7.1,88
109,A.I. Artificial Intelligence,Science Fiction Drama,robot child love abandoned future,A highly advanced robotic boy longs to become real so that he can regain the love of his human mother. Stanley Kubricks vision brought to life by Spielberg exploring consciousness and love.,2001,7.1,84
110,Transcendence,Science Fiction Thriller,AI consciousness upload tech singularity,A scientist is mortally wounded and his wife digitizes his brain. But as his new form becomes more powerful and he begins to take over the internet things begin to go wrong.,2014,6.3,80
111,Wargames,Science Fiction Thriller,hacker AI military game nuclear war,A young man finds a back door into a military central computer in which reality and game are dangerously intertwined. A classic 80s thriller about AI and nuclear war.,1983,7.1,82
112,The Social Network,Drama,Facebook startup rivalry friendship betrayal tech,As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook he is sued by the twins who claimed he stole their idea and his co-founder who later sues him for being squeezed out of the business.,2010,7.8,93
113,Steve Jobs,Drama Biographical,Apple tech visionary genius difficult personality,Apple co-founder Steve Jobs is portrayed in the moments before three iconic product launches that defined his career.,2015,7.2,85
114,The Imitation Game,Drama Historical,Turing math codebreaking World War AI Enigma,During World War II the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while being watched by government agents suspicious of his inclinations. A moving portrait of a tragic genius.,2014,8.0,92
115,Good Will Hunting,Drama,genius therapy self-worth potential friendship mathematics,Will Hunting a janitor at MIT has a gift for mathematics but needs help from a psychologist to find direction in his life. An Oscar-winning drama about wasted potential and healing.,1997,8.3,93
116,A Beautiful Mind,Drama Biographical,math schizophrenia Nash genius Nobel mental illness,After John Nash a brilliant but asocial mathematician accepts secret work in cryptography his life takes a turn for the nightmarish. A touching portrayal of genius and mental illness.,2001,8.2,92
117,The Theory of Everything,Drama Biographical,Hawking physics cosmology love disability ALS,A look at the relationship between the famous physicist Stephen Hawking and his wife. Based on the memoir by Jane Hawking about her experience with her ex-husband's sickness and genius.,2014,7.7,89
118,Bohemian Rhapsody,Drama Music Biographical,Queen Freddie Mercury rock band music legacy,The story of the legendary British rock band Queen and lead singer Freddie Mercury who defied stereotypes and shattered convention to become one of the most beloved entertainers on the planet.,2018,8.0,93
119,Rocketman,Drama Music Biographical,Elton John music journey identity fame piano,A musical fantasy about the fantastical human story of Elton Johns breakthrough years. An extravagant and emotional biopic told through iconic Elton John songs.,2019,7.3,87
120,Bohemian Rhapsody,Drama Music,Queen rock band legendary music live performance,A chronicle of the years leading up to Queen's legendary appearance at the Live Aid concert. Features incredible musical performances and Rami Maleks Oscar-winning portrayal of Freddie Mercury.,2018,8.0,93
